,incumbent,bestbd,gap,time,iteration
0,5750.185938015911,,,27.058502197265625,2
1,5784.828809656693,,,30.00934386253357,2
2,5596.717237295842,,,28.39748740196228,2
3,5736.945491031663,,,36.83683919906616,3
4,5604.409359347587,,,24.558928966522217,2
5,5767.262872741127,,,26.82080078125,2
6,5717.303949711938,,,28.626302003860474,2
7,5361.372454640314,,,30.65878915786743,2
8,5791.687197715039,,,36.415271520614624,2
9,5322.171627603707,,,27.960402250289917,2
10,5754.949833083183,,,29.103963375091553,2
