,incumbent,bestbd,gap,time,vss,evpi,vss_ts
0,6465.194340127038,6465.42860678898,0.0,116.60700011253357,-1,-1,-1
1,6493.701091603383,6494.272672229234,0.0,86.82699990272522,-1,-1,-1
2,6272.816178567531,6272.816178590576,0.0,59.16100001335144,-1,-1,-1
3,6412.747371453668,6413.385863661911,0.0,54.51300001144409,-1,-1,-1
4,6280.67036638578,6280.883004162065,0.0,47.92999982833862,-1,-1,-1
5,6458.283027991139,6458.922350503628,0.0,153.46000003814697,-1,-1,-1
6,6412.20190390064,6412.201904156252,0.0,71.04900002479553,-1,-1,-1
7,5954.487901075386,5955.043715690839,0.0,78.83399987220764,-1,-1,-1
8,6474.890747102008,6475.507148521787,0.0,63.992000102996826,-1,-1,-1
9,5935.066435621498,5935.652171485173,0.0,241.35999989509583,-1,-1,-1
10,6440.710504627082,6441.347761499172,0.0,97.74900007247925,-1,-1,-1
