,incumbent,bestbd,gap,time,vss,evpi,vss_ts
0,6445.322114260337,6445.322114260337,0.0,256.90899991989136,-1,-1,-1
1,6474.376497402885,6474.376497402885,0.0,106.51200008392334,-1,-1,-1
2,6266.38742241142,6266.38742241142,0.0,170.2130000591278,-1,-1,-1
3,6392.328450411196,6392.328450411196,0.0,211.9449999332428,-1,-1,-1
4,6259.424911733771,6259.424911733771,0.0,442.9399998188019,-1,-1,-1
5,6428.491790612175,6428.491790612175,0.0,216.00899982452393,-1,-1,-1
6,6394.04781081287,6394.04781081287,0.0,183.29500007629395,-1,-1,-1
7,5932.248032560468,5932.248032560468,0.0,283.41100001335144,-1,-1,-1
8,6465.640827744917,6465.640827744917,0.0,314.0570001602173,-1,-1,-1
9,5916.6224105107185,5916.6224105107185,0.0,167.94700002670288,-1,-1,-1
10,6417.24640426392,6417.24640426392,0.0,169.231999874115,-1,-1,-1
