,incumbent,bestbd,gap,time,vss,evpi,vss_ts
0,1754481.9661950108,1754481.9661950108,0.0,1.6989998817443848,-1,-1,-1
1,1746520.6874459577,1746520.6874459577,0.0,1.3880000114440918,-1,-1,-1
2,1656512.4470878907,1656512.4470878907,0.0,1.7280001640319824,-1,-1,-1
3,1696058.875536083,1696058.8755360884,0.0,1.5800001621246338,-1,-1,-1
4,1682167.9195592778,1682167.9195592778,0.0,1.6439998149871826,-1,-1,-1
5,1728022.6717943894,1728022.6717943898,0.0,1.6059999465942383,-1,-1,-1
6,1723470.3960731556,1723470.3960731556,0.0,1.9079999923706055,-1,-1,-1
7,1701888.1792866844,1701888.1792866844,0.0,1.5760002136230469,-1,-1,-1
8,1697171.3212327021,1697171.3212327063,0.0,1.7039999961853027,-1,-1,-1
9,1697401.74382545,1697401.743825451,0.0,1.6749999523162842,-1,-1,-1
10,1753805.1811210176,1753805.1811210176,0.0,1.7170000076293945,-1,-1,-1
