Model,Seed,Period,Variable,Item,Mean_Value
REL_EVAL,5,1,y,P2,3.7050359322647135
REL_EVAL,5,1,D,P2,4.294964067735285
REL_EVAL,5,2,w,P1,37.5
REL_EVAL,5,2,y,P1,0.0
REL_EVAL,5,2,D,P1,47.69002659639672
REL_EVAL,5,2,w,P2,37.5
REL_EVAL,5,2,y,P2,0.0
REL_EVAL,5,2,D,P2,47.02055768201076
REL_EVAL,5,3,w,P1,52.5
REL_EVAL,5,3,y,P1,18.53411021234479
REL_EVAL,5,3,D,P1,18.53411021234479
REL_EVAL,5,3,w,P2,51.25
REL_EVAL,5,3,y,P2,19.568358477799315
REL_EVAL,5,3,D,P2,19.568358477799315
REL_EVAL,5,4,w,P1,52.5
REL_EVAL,5,4,y,P1,16.680459706831684
REL_EVAL,5,4,D,P1,16.91005225094541
REL_EVAL,5,4,w,P2,53.125
REL_EVAL,5,4,y,P2,15.382885117244427
REL_EVAL,5,4,D,P2,15.62950436708216
REL_EVAL,5,5,w,P1,51.875
REL_EVAL,5,5,y,P1,17.04666459535909
REL_EVAL,5,5,D,P1,17.101400415463537
REL_EVAL,5,5,w,P2,52.1875
REL_EVAL,5,5,y,P2,17.018484325636617
REL_EVAL,5,5,D,P2,17.179991481149237
REL_EVAL,5,6,w,P1,53.75
REL_EVAL,5,6,y,P1,14.5202694994491
REL_EVAL,5,6,D,P1,15.11165689688156
REL_EVAL,5,6,w,P2,54.0625
REL_EVAL,5,6,y,P2,13.911347425304186
REL_EVAL,5,6,D,P2,14.245219865169782
REL_EVAL,5,7,w,P1,52.5
REL_EVAL,5,7,y,P1,15.971973387110578
REL_EVAL,5,7,D,P1,16.336520924032357
REL_EVAL,5,7,w,P2,53.125
REL_EVAL,5,7,y,P2,15.481196116690157
REL_EVAL,5,7,D,P2,15.664742608441347
REL_EVAL,5,8,w,P1,52.890625
REL_EVAL,5,8,y,P1,15.075152591693849
REL_EVAL,5,8,D,P1,15.94182906375772
REL_EVAL,5,8,w,P2,53.3203125
REL_EVAL,5,8,y,P2,14.47452025920872
REL_EVAL,5,8,D,P2,15.26058924347286
IH,5,1,x,C1,10.823549808279884
IH,5,1,I,C1,0.0
IH,5,1,x,C2,12.7315007782836
IH,5,1,I,C2,0.0
IH,5,2,x,C1,5.54063149085043
IH,5,2,I,C1,0.0
IH,5,2,x,C2,6.863940727432706
IH,5,2,I,C2,0.0
IH,5,3,x,C1,3.7527817923223274
IH,5,3,I,C1,6.001913927938145
IH,5,3,x,C2,6.174886890734666
IH,5,3,I,C2,4.646518128675571
IH,5,4,x,C1,15.257766910412325
IH,5,4,I,C1,0.59637836943948
IH,5,4,x,C2,10.035736960023895
IH,5,4,I,C2,0.6906191621645807
IH,5,5,x,C1,8.874116051936634
IH,5,5,I,C1,7.608821432961232
IH,5,5,x,C2,10.24864992585084
IH,5,5,I,C2,5.530585313262809
IH,5,6,x,C1,7.592507191829344
IH,5,6,I,C1,2.896643367749759
IH,5,6,x,C2,6.841383060166795
IH,5,6,I,C2,4.353788048273029
IH,5,7,x,C1,2.0469757003401794
IH,5,7,I,C1,3.0837102294842973
IH,5,7,x,C2,0.9922306034786155
IH,5,7,I,C2,3.5316023826950262
IH,5,8,x,C1,0.0
IH,5,8,I,C1,0.10415585270644101
IH,5,8,x,C2,0.0
IH,5,8,I,C2,0.10415585270644091
IH,5,1,w,P1,60.0
IH,5,1,y,P1,4.294964067735285
IH,5,1,D,P1,4.294964067735285
IH,5,1,w,P2,60.0
IH,5,1,y,P2,3.7050359322647144
IH,5,1,D,P2,4.294964067735285
IH,5,2,w,P1,15.0
IH,5,2,y,P1,0.0
IH,5,2,D,P1,88.91262556442845
IH,5,2,w,P2,15.0
IH,5,2,y,P2,0.0
IH,5,2,D,P2,88.24315665004248
IH,5,3,w,P1,60.0
IH,5,3,y,P1,5.807948697712785
IH,5,3,D,P1,5.807948697712785
IH,5,3,w,P2,60.0
IH,5,3,y,P2,4.554318673479381
IH,5,3,D,P2,4.55431867347938
IH,5,4,w,P1,60.0
IH,5,4,y,P1,4.791413789733806
IH,5,4,D,P1,4.8782269782452055
IH,5,4,w,P2,60.0
IH,5,4,y,P2,4.366903561087185
IH,5,4,D,P2,4.835385623758491
IH,5,5,w,P1,56.875
IH,5,5,y,P1,4.045579806803388
IH,5,5,D,P1,8.797690255291515
IH,5,5,w,P2,56.25
IH,5,5,y,P2,4.199744040087184
IH,5,5,D,P2,10.002809418626436
IH,5,6,w,P1,60.0
IH,5,6,y,P1,4.828881496043044
IH,5,6,D,P1,5.242689467860933
IH,5,6,w,P2,60.0
IH,5,6,y,P2,4.377994205448978
IH,5,6,D,P2,4.977387024359956
IH,5,7,w,P1,60.0
IH,5,7,y,P1,4.427652748607521
IH,5,7,D,P1,4.653691121981607
IH,5,7,w,P2,60.0
IH,5,7,y,P2,4.63221676034042
IH,5,7,D,P2,4.836346592608546
IH,5,8,w,P1,60.0
IH,5,8,y,P1,3.9908693283924572
IH,5,8,D,P1,4.780868531587971
IH,5,8,w,P2,60.0
IH,5,8,y,P2,3.7606499855285307
IH,5,8,D,P2,4.789604159449108
